34,Aktiviti dakwah terhadap saudara baru : kajian di Jabatan Agama Islam Wilayah Persekutuan Kuala Lumpur / Muhammad bin Hashim.- Details in Pendeta Discovery
35,al Ausos al tarbawiyah al diniyah lloesrah al moslemah wa athar alawlamah ala thaqafataha al Ahlaqiyah / Jokha Sulaiman al Hasani.- Details in Pendeta Discovery
36,al-`Adalah al-ijtima`iyah fi `ahd `Umar ibn `Abd al-`Aziz : dirasah tarikhiyah tahliliyah / Mahmud Tal`at `Ali Hasan al-Badwihi.- Details in Pendeta Discovery
37,al-Ahadith al-lati a`allaha Abu Daud Rahimah Allah fi sunanih min awal kitab al-dhahaya ila akhir kitab al-At`imat : takhrij wa-dirasat naqdiyat / Mohammad Abu Baker Khaleel Mulla Khater.- Details in Pendeta Discovery
38,al-Ahadith al-mawdu`ah fi kutub al-Jawi fi al-qarn al-tasi` `ashar al-masihi : dirasah tahliliyah / Mohd Fauzi bin Mohd Amin.- Details in Pendeta Discovery
39,al-Ahadith al-waridah fi fada'il shahr Rajab : jam`an wa dirasatan / Shadi Yasin Ahmad al-Tarawunah.- Details in Pendeta Discovery
40,al-Ahadith al-waridah fi mukafahat al-fasad al-idari wa-tatiqatuha fi shimal Nayjiriya / Nadhir Salih.- Details in Pendeta Discovery
41,al-Ahzab al-Islamiyah wa-dawruha fi al-hayah al-siyasiyah al-mu`asirah : hizb Harakat al-Nahdah fi Tunis namudhajan / Bara' Barakat al-Gharibih ; al-mushrif Duktur Bharuddin Che Pa.- Details in Pendeta Discovery
42,al-Aman wa-atharuh fi al-silm al-ijtima`i fi daw' al-Qur'an al-Karim : al-aman al-usra fi Indunisiya namudhajan / Ahmaddin Ahmad Tohar ; diselia oleh Prof. Madya Dr. Mustaffa Abdullah.- Details in Pendeta Discovery
43,al-Amn al-fikri fi al-`asr al-`Abbasi al-awwal (132H-232H) / Seggani Souheila.- Details in Pendeta Discovery
44,al-Amthal bi al-hayawan dalam al-Qur'an : kajian dari perspektif i'jaz bayaniy dan i'jaz 'ilmiy / Mohd Sukki bin Othman.- Details in Pendeta Discovery
45,Al-Amthal dalam Al-Qur'an : kajian terhadap surah Al-Nahl / Zamzam Atirah bt. Md. Zain.- Details in Pendeta Discovery
